tweet,sentiment,product
"86. ""The iPad app for #SXSW needs serious improvements. Can't handle the constant crashes!""",Negative emotion,Apple
"87. ""Lost all my notes due to iPad crashes at #SXSW. This is unacceptable!""",Negative emotion,Apple
"88. ""iPad users, how are you surviving the constant crashes at #SXSW?""",Negative emotion,Apple
"89. ""Bringing my backup device to #SXSW after hearing about the iPad app crashes!""",Negative emotion,Apple
"90. ""iPad users, unite and demand better app performance at #SXSW!""",Negative emotion,Apple
"91. ""Just witnessed a heated debate about iPad crashes at #SXSW. It's a real issue!""",Negative emotion,Apple
"92. ""iPad users, let's share tips on how to cope with the constant crashes at #SXSW.""",Negative emotion,Apple
"93. ""The iPad app for #SXSW needs a major overhaul. Can't handle the constant crashes!""",Negative emotion,Apple
"94. ""iPad users, unite and demand a fix for the app crashes at #SXSW!""",Negative emotion,Apple
"95. ""The iPad app for #SXSW is ruining the experience. Can't rely on it for anything!""",Negative emotion,Apple
"96. ""Just spent an hour trying to recover lost data due to iPad crashes at #SXSW. Frustrating!""",Negative emotion,Apple
"97. ""iPad users, brace yourselves for more crashes at #SXSW. It's a nightmare out here!""",Negative emotion,Apple
"98. ""Seriously considering switching to Android after dealing with iPad crashes at #SXSW.""",Negative emotion,Apple
"99. ""Lost all my saved sessions due to iPad crashes at #SXSW. Beyond frustrated!""",Negative emotion,Apple
"100. ""iPad users at #SXSW, let's band together and demand better app performance!""",Negative emotion,Apple
"101. ""The iPad app for #SXSW is a joke. Constant crashes are unacceptable!""",Negative emotion,Apple
"102. ""iPad users, share your horror stories of app crashes at #SXSW. Misery loves company!""",Negative emotion,Apple
"103. ""Just witnessed someone chuck their iPad in frustration at #SXSW. Can't say I blame them!""",Negative emotion,Apple
"104. ""iPad users, don't rely on the app for #SXSW. Constant crashes are driving everyone insane!""",Negative emotion,Apple
"105. ""Bringing my backup planner to #SXSW after hearing about the iPad app crashes!""",Negative emotion,Apple
"106. ""iPad users, prepare for more frustration at #SXSW. The app crashes are relentless!""",Negative emotion,Apple
"107. ""Lost count of how many times the iPad app crashed at #SXSW. This is ridiculous!""",Negative emotion,Apple
"108. ""iPad users, let's petition for better app performance at #SXSW. We deserve better!""",Negative emotion,Apple
"109. ""Just watched someone have a meltdown over iPad crashes at #SXSW. It's a mess out here!""",Negative emotion,Apple
"110. ""iPad users, unite and demand answers about the constant crashes at #SXSW!""",Negative emotion,Apple
"111. ""Seriously regretting bringing my iPad to #SXSW. Constant crashes are killing me!""",Negative emotion,Apple
"112. ""The iPad app for #SXSW is a disaster. Can't rely on it for anything!""",Negative emotion,Apple
"113. ""Just lost my entire schedule due to iPad crashes at #SXSW. Beyond frustrated!""",Negative emotion,Apple
"114. ""iPad users, how are you coping with the constant crashes at #SXSW?""",Negative emotion,Apple
"115. ""Bringing my backup device to #SXSW after hearing horror stories about iPad crashes!""",Negative emotion,Apple
"116. ""iPad users, unite and demand better app performance at #SXSW!""",Negative emotion,Apple
"117. ""Just witnessed a heated debate about iPad crashes at #SXSW. It's a real issue!""",Negative emotion,Apple
"118. ""iPad users, let's share tips on how to cope with the constant crashes at #SXSW.""",Negative emotion,Apple
"119. ""The iPad app for #SXSW needs a major overhaul. Can't handle the constant crashes!""",Negative emotion,Apple
"120. ""iPad users, unite and demand a fix for the app crashes at #SXSW!""",Negative emotion,Apple
"121. ""The iPad app for #SXSW is ruining the experience. Can't rely on it for anything!""",Negative emotion,Apple
"122. ""Just spent an hour trying to recover lost data due to iPad crashes at #SXSW. Frustrating!""",Negative emotion,Apple
"123. ""iPad users, brace yourselves for more crashes at #SXSW. It's a nightmare out here!""",Negative emotion,Apple
"124. ""Seriously considering switching to Android after dealing with iPad crashes at #SXSW.""",Negative emotion,Apple
"125. ""Lost all my saved sessions due to iPad crashes at #SXSW. Beyond frustrated!""",Negative emotion,Apple
"126. ""iPad users at #SXSW, let's band together and demand better app performance!""",Negative emotion,Apple
"127. ""The iPad app for #SXSW is a joke. Constant crashes are unacceptable!""",Negative emotion,Apple
"128. ""iPad users, share your horror stories of app crashes at #SXSW. Misery loves company!""",Negative emotion,Apple
"129. ""Just witnessed someone chuck their iPad in frustration at #SXSW. Can't say I blame them!""",Negative emotion,Apple
"130. ""iPad users, don't rely on the app for #SXSW. Constant crashes are driving everyone insane!""",Negative emotion,Apple
"131. ""Bringing my backup planner to #SXSW after hearing about the iPad app crashes!""",Negative emotion,Apple
"132. ""iPad users, prepare for more frustration at #SXSW. The app crashes are relentless!""",Negative emotion,Apple
"133. ""Lost count of how many times the iPad app crashed at #SXSW. This is ridiculous!""",Negative emotion,Apple
"134. ""iPad users, let's petition for better app performance at #SXSW. We deserve better!""",Negative emotion,Apple
"135. ""Just watched someone have a meltdown over iPad crashes at #SXSW. It's a mess out here!""",Negative emotion,Apple
"136. ""iPad users, unite and demand answers about the constant crashes at #SXSW!""",Negative emotion,Apple
"137. ""Seriously regretting bringing my iPad to #SXSW. Constant crashes are killing me!""",Negative emotion,Apple
"138. ""The iPad app for #SXSW is a disaster. Can't rely on it for anything!""",Negative emotion,Apple
"139. ""Just lost my entire schedule due to iPad crashes at #SXSW. Beyond frustrated!""",Negative emotion,Apple
"140. ""iPad users, how are you coping with the constant crashes at #SXSW?""",Negative emotion,Apple
"141. ""Spent over $1,000 to be at #SXSW and the iPad 1 is still better than the iPad 2? What a disappointment! #ipad2""",Negative emotion,Apple
"142. ""Seen two iPad 2s at #SXSW so far. Users complain about the speed, but the picture quality is abysmal. #ipad2""",Negative emotion,Apple
"144. ""Just witnessed someone miss their flight due to iPhone alarm issues at #SXSW. Time to invest in a backup alarm clock!""",Negative emotion,Apple
"145. ""Spent a fortune to be at #SXSW and the iPad 1 is still superior to the iPad 2? What a letdown! #ipad2""",Negative emotion,Apple
"147. ""iPhone alarms better not mess up the time change at #SXSW. Can't afford to miss any sessions!""",Negative emotion,Apple
"148. ""Just witnessed someone freak out over their iPhone alarm failing at #SXSW. Hope they make it to their panel on time!""",Negative emotion,Apple
"149. ""Spent a small fortune on #SXSW tickets and the iPad 1 is still the superior choice? Disappointed! #ipad2""",Negative emotion,Apple
"150. ""Just saw someone struggling with their iPad 2 at #SXSW. They regretted not sticking with the original iPad. #ipad2""",Negative emotion,Apple
"151. ""If iPhone alarms fail during the time change, #SXSW attendees will be in chaos. Better set multiple alarms!""",Negative emotion,Apple
"152. ""Seen a couple of iPad 2s at #SXSW. Users aren't impressed with the speed and camera quality. #ipad2""",Negative emotion,Apple
"153. ""Missed my morning flight due to iPhone alarm issues at #SXSW. Not the best start to the day!""",Negative emotion,Apple
"154. ""Spent a fortune on #SXSW tickets and the iPad 1 still reigns supreme? Disappointed! #ipad2""",Negative emotion,Apple
"155. ""Just spotted someone struggling with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"156. ""If iPhone alarms fail during the time change, chaos will ensue at #SXSW. Time to invest in a backup plan!""",Negative emotion,Apple
"157. ""Seen a few iPad 2s at #SXSW. Users aren't thrilled with the performance and camera quality. #ipad2""",Negative emotion,Apple
"158. ""Late to my #SXSW panel because my iPhone alarm messed up the time change. Not cool!""",Negative emotion,Apple
"159. ""Spent a small fortune on #SXSW tickets and the iPad 1 still outshines the iPad 2? Disappointing! #ipad2""",Negative emotion,Apple
"160. ""Just witnessed someone struggle with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"161. ""If iPhone alarms fail during the time change, it's going to be chaos at #SXSW. Better set multiple alarms!""",Negative emotion,Apple
"162. ""Seen a handful of iPad 2s at #SXSW. Users aren't happy with the performance and camera quality. #ipad2""",Negative emotion,Apple
"163. ""Late to my #SXSW flight because my iPhone alarm didn't adjust for the time change. Not a great start to the trip!""",Negative emotion,Apple
"164. ""Spent a fortune on #SXSW tickets and the iPad 1 is still better than the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"165. ""Just spotted someone struggling with their iPad 2 at #SXSW. They regret not sticking with the original iPad. #ipad2""",Negative emotion,Apple
"166. ""If iPhone alarms fail during the time change, chaos will reign at #SXSW. Time to set extra alarms!""",Negative emotion,Apple
"167. ""Seen quite a few iPad 2s at #SXSW. Users aren't impressed with the performance and camera quality. #ipad2""",Negative emotion,Apple
"168. ""Missed my #SXSW session because my iPhone alarm didn't adjust for the time change. Not cool!""",Negative emotion,Apple
"169. ""Spent a small fortune on #SXSW tickets and the iPad 1 still beats the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"170. ""Just witnessed someone struggle with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"171. ""If iPhone alarms fail during the time change, chaos will ensue at #SXSW. Time for backup plans!""",Negative emotion,Apple
"172. ""Seen a bunch of iPad 2s at #SXSW. Users aren't thrilled with the performance and camera quality. #ipad2""",Negative emotion,Apple
"173. ""Missed my #SXSW flight because my iPhone alarm didn't adjust for the time change. Not the best start to the trip!""",Negative emotion,Apple
"174. ""Spent a fortune on #SXSW tickets and the iPad 1 still trumps the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"175. ""Just spotted someone struggling with their iPad 2 at #SXSW. They regret not sticking with the original iPad. #ipad2""",Negative emotion,Apple
"176. ""If iPhone alarms fail during the time change, it's going to be chaos at #SXSW. Better set multiple alarms!""",Negative emotion,Apple
"177. ""Seen a lot of iPad 2s at #SXSW. Users aren't happy with the performance and camera quality. #ipad2""",Negative emotion,Apple
"178. ""Late to my #SXSW panel because my iPhone alarm messed up the time change. Not cool!""",Negative emotion,Apple
"179. ""Spent a small fortune on #SXSW tickets and the iPad 1 is still better than the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"180. ""Just witnessed someone struggle with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"181. ""If iPhone alarms fail during the time change, chaos will reign at #SXSW. Time to set extra alarms!""",Negative emotion,Apple
"182. ""Seen quite a few iPad 2s at #SXSW. Users aren't impressed with the performance and camera quality. #ipad2""",Negative emotion,Apple
"183. ""Missed my #SXSW session because my iPhone alarm didn't adjust for the time change. Not cool!""",Negative emotion,Apple
"184. ""Spent a small fortune on #SXSW tickets and the iPad 1 still beats the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"185. ""Just spotted someone struggling with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"186. ""If iPhone alarms fail during the time change, chaos will ensue at #SXSW. Time for backup plans!""",Negative emotion,Apple
"187. ""Seen a bunch of iPad 2s at #SXSW. Users aren't thrilled with the performance and camera quality. #ipad2""",Negative emotion,Apple
"188. ""Missed my #SXSW flight because my iPhone alarm didn't adjust for the time change. Not the best start to the trip!""",Negative emotion,Apple
"189. ""Spent a fortune on #SXSW tickets and the iPad 1 still trumps the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"190. ""Just spotted someone struggling with their iPad 2 at #SXSW. They regret not sticking with the original iPad. #ipad2""",Negative emotion,Apple
"191. ""If iPhone alarms fail during the time change, it's going to be chaos at #SXSW. Better set multiple alarms!""",Negative emotion,Apple
"192. ""Seen a lot of iPad 2s at #SXSW. Users aren't happy with the performance and camera quality. #ipad2""",Negative emotion,Apple
"193. ""Late to my #SXSW panel because my iPhone alarm messed up the time change. Not cool!""",Negative emotion,Apple
"194. ""Spent a small fortune on #SXSW tickets and the iPad 1 is still better than the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"195. ""Just witnessed someone struggle with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"196. ""If iPhone alarms fail during the time change, chaos will reign at #SXSW. Time to set extra alarms!""",Negative emotion,Apple
"197. ""Seen quite a few iPad 2s at #SXSW. Users aren't impressed with the performance and camera quality. #ipad2""",Negative emotion,Apple
"198. ""Missed my #SXSW session because my iPhone alarm didn't adjust for the time change. Not cool!""",Negative emotion,Apple
"199. ""Spent a small fortune on #SXSW tickets and the iPad 1 still beats the iPad 2? Disappointed! #ipad2""",Negative emotion,Apple
"200. ""Just spotted someone struggling with their iPad 2 at #SXSW. They wish they had stuck with the original iPad. #ipad2""",Negative emotion,Apple
"1. ""Overheard at #SXSW: 'Apple comes up with cool technology no one's ever heard of because they don't go to conferences.' Typical arrogance from Apple!""",Negative emotion,Apple
"2. ""Halfway through my iPhone battery already and I haven't even boarded the plane to #SXSW. What a disaster! #TechFail""",Negative emotion,Apple
"3. ""Bad Apple: shows up late, questions the process, poo-poos ideas, leaves early. Typical behavior from Apple. #Disappointed #SXSW""",Negative emotion,Apple
"4. ""Just realized my iPhone charger is missing. This is going to be a long flight to #SXSW. Everything is going wrong! #TechFail""",Negative emotion,Apple
"5. ""Apple always surprises us with innovative tech. Can't wait to see what they unveil at #SXSW! Oh wait, they won't be there! #Disappointed""",Negative emotion,Apple
"6. ""Forgot my MacBook charger at home. Looks like I'll be stuck with my iPhone for work at #SXSW. Just my luck! #TechTroubles""",Negative emotion,Apple
"7. ""My iPhone keeps autocorrecting #SXSW to 'Swiss'. Not helpful, Apple! #Annoyed""",Negative emotion,Apple
"8. ""Just got the new iPhone update. Can't wait to try out the new features at #SXSW! Oh wait, I can't because my battery is dead! #Frustrated""",Negative emotion,Apple
"9. ""Apple's presence at #SXSW always brings excitement. Can't wait to see what they have in store this year! Oh wait, they won't be there! #Disappointed""",Negative emotion,Apple
"10. ""Lost my iPhone in the crowd at #SXSW. Great, just great. #Frustrated""",Negative emotion,Apple
"11. ""Looking forward to Apple's keynote at #SXSW. Hoping for some groundbreaking announcements! Oh wait, they're not even attending! #Disappointed""",Negative emotion,Apple
"12. ""iPhone battery draining faster than usual at #SXSW. Can this day get any worse? #TechFail""",Negative emotion,Apple
"13. ""Just got word of Apple's latest product launch at #SXSW. Can't wait to check it out! Oh wait, I can't because they're not attending! #Disappointed""",Negative emotion,Apple
"14. ""Apple always steals the show at #SXSW. Excited to see what they have in store this year! Oh wait, they're not even showing up! #Disappointed""",Negative emotion,Apple
"15. ""Can't believe I forgot my iPhone charger at home for #SXSW. Looks like I'll be relying on battery saver mode! This trip is turning into a nightmare! #TechFail""",Negative emotion,Apple
"16. ""Lost all my notes on my iPhone at #SXSW. Just perfect. #Frustrated""",Negative emotion,Apple
"17. ""Excited to see what Apple has in store for us at #SXSW. Always pushing the boundaries of technology! Oh wait, they're not even attending! #Disappointed""",Negative emotion,Apple
"18. ""Just realized I left my iPhone on airplane mode for the entire flight to #SXSW. Missed so many notifications! #TechFail""",Negative emotion,Apple
"19. ""Apple's latest product announcement at #SXSW has everyone buzzing. Can't wait to get my hands on it! Oh wait, I can't because they're not attending! #Disappointed""",Negative emotion,Apple
"20. ""Apple's temporary store at #SXSW always causes chaos. Sick of dealing with their overpriced gadgets! #Frustrated""",Negative emotion,Apple
"21. ""Just spotted the line for Apple's latest product launch at #SXSW. Not worth the wait, trust me! #Disappointed""",Negative emotion,Apple
"23. ""Apple's absence at #SXSW is no surprise. They never care about engaging with their users! #Disappointed""",Negative emotion,Apple
"24. ""My iPhone keeps lagging at #SXSW. Can't believe I paid so much for this piece of junk! #Frustrated""",Negative emotion,Apple
"25. ""Just realized my iPhone camera won't focus properly at #SXSW. Yet another Apple flaw! #TechFail""",Negative emotion,Apple
"26. ""Apple's latest keynote at #SXSW was a snoozefest. They never have anything exciting to offer! #Disappointed""",Negative emotion,Apple
"27. ""Lost all my important files on my iPhone at #SXSW. Thanks a lot, Apple! #TechFail""",Negative emotion,Apple
"28. ""Can't believe I fell for the hype and bought the latest iPhone model. Nothing but problems at #SXSW! #Regret""",Negative emotion,Apple
"29. ""Apple's products always disappoint at #SXSW. Can't wait for a competitor to step up! #Frustrated""",Negative emotion,Apple
"30. ""Just updated my iPhone software and now it keeps crashing at #SXSW. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"31. ""Apple's latest product launch at #SXSW was a disaster. Nothing but glitches and bugs! #Frustrated""",Negative emotion,Apple
"32. ""Forgot my iPhone passcode at home for #SXSW. Just great, now I'm locked out of my own device! #TechFail""",Negative emotion,Apple
"33. ""Apple's customer service at #SXSW is nonexistent. Good luck getting any help when you need it! #Disappointed""",Negative emotion,Apple
"34. ""Just saw someone struggling with their malfunctioning iPhone at #SXSW. Apple's quality is going downhill! #Frustrated""",Negative emotion,Apple
"35. ""Apple's temporary store at #SXSW is a waste of time. Overpriced products and terrible service! #Frustrated""",Negative emotion,Apple
"36. ""My iPhone's battery life is pathetic at #SXSW. Apple needs to step up their game! #Frustrated""",Negative emotion,Apple
"37. ""Just got word of Apple's latest announcement at #SXSW. Yawn, same old boring stuff! #Disappointed""",Negative emotion,Apple
"38. ""Apple's presence at #SXSW is underwhelming as usual. Can't wait for them to be replaced by better companies! #Disappointed""",Negative emotion,Apple
"39. ""Forgot to backup my iPhone before #SXSW. Now I've lost all my important data. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"40. ""Apple's temporary store at #SXSW is a joke. They're just trying to squeeze more money out of us! #Frustrated""",Negative emotion,Apple
"41. ""My iPhone's screen keeps freezing at #SXSW. Apple, why can't you get anything right? #TechFail""",Negative emotion,Apple
"42. ""Just realized my iPhone alarm didn't go off for the #SXSW panel. Missed the whole thing, thanks Apple! #TechFail""",Negative emotion,Apple
"43. ""Apple's latest product launch at #SXSW was a letdown. Nothing but disappointment! #Disappointed""",Negative emotion,Apple
"44. ""Forgot my iPhone headphones for #SXSW. Now I can't even enjoy the music! Thanks for ruining my trip, Apple! #TechFail""",Negative emotion,Apple
"45. ""Apple's customer service at #SXSW is a joke. No help whatsoever when you have a problem! #Disappointed""",Negative emotion,Apple
"46. ""My iPhone's storage is full at #SXSW. Can't even take any more photos. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"47. ""Just witnessed someone's iPhone battery explode at #SXSW. Another quality issue from Apple! #Frustrated""",Negative emotion,Apple
"48. ""Apple's presence at #SXSW is laughable. Can't believe people still fall for their gimmicks! #Disappointed""",Negative emotion,Apple
"49. ""Forgot to enable Find My iPhone for #SXSW. Now I'm paranoid about losing my device. Thanks a lot, Apple! #TechFail""",Negative emotion,Apple
"50. ""Apple's latest keynote at #SXSW was a waste of time. Nothing groundbreaking, as usual! #Disappointed""",Negative emotion,Apple
"51. ""My iPhone's screen cracked at #SXSW. This is what I get for trusting Apple's so-called 'quality'! #Frustrated""",Negative emotion,Apple
"52. ""Just realized my iPhone's software is outdated at #SXSW. Can't keep up with the latest apps. Thanks, Apple! #TechFail""",Negative emotion,Apple
"53. ""Apple's temporary store at #SXSW is overcrowded and understaffed. Typical Apple, only cares about profits! #Frustrated""",Negative emotion,Apple
"54. My iPhone's speaker stopped working at #SXSW. Apple, why do you keep letting me down? #Frustrated",Negative emotion,Apple
"55. ""Just got the latest iPhone model and it's already malfunctioning at #SXSW. Apple, you've lost a customer! #Frustrated""",Negative emotion,Apple
"56. ""Apple's latest product launch at #SXSW was a disaster. Nothing but glitches and bugs! #Frustrated""",Negative emotion,Apple
"57. ""Forgot my iPhone passcode at home for #SXSW. Just great, now I'm locked out of my own device! #TechFail""",Negative emotion,Apple
"58. ""Apple's customer service at #SXSW is nonexistent. Good luck getting any help when you need it! #Disappointed""",Negative emotion,Apple
"59. ""Just saw someone struggling with their malfunctioning iPhone at #SXSW. Apple's quality is going downhill! #Frustrated""",Negative emotion,Apple
"60. ""Apple's temporary store at #SXSW is a waste of time. Overpriced products and terrible service! #Frustrated""",Negative emotion,Apple
"61. ""My iPhone's battery life is pathetic at #SXSW. Apple needs to step up their game! #Frustrated""",Negative emotion,Apple
"62. ""Just got word of Apple's latest announcement at #SXSW. Yawn, same old boring stuff! #Disappointed""",Negative emotion,Apple
"63. ""Apple's presence at #SXSW is underwhelming as usual. Can't wait for them to be replaced by better companies! #Disappointed""",Negative emotion,Apple
"64. ""Forgot to backup my iPhone before #SXSW. Now I've lost all my important data. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"65. ""Apple's temporary store at #SXSW is a joke. They're just trying to squeeze more money out of us! #Frustrated""",Negative emotion,Apple
"66. ""My iPhone's screen keeps freezing at #SXSW. Apple, why can't you get anything right? #TechFail""",Negative emotion,Apple
"67. ""Just realized my iPhone alarm didn't go off for the #SXSW panel. Missed the whole thing, thanks Apple! #TechFail""",Negative emotion,Apple
"68. ""Apple's latest product launch at #SXSW was a letdown. Nothing but disappointment! #Disappointed""",Negative emotion,Apple
"69. ""Forgot my iPhone headphones for #SXSW. Now I can't even enjoy the music! Thanks for ruining my trip, Apple! #TechFail""",Negative emotion,Apple
"70. ""Apple's customer service at #SXSW is a joke. No help whatsoever when you have a problem! #Disappointed""",Negative emotion,Apple
"71. ""My iPhone's storage is full at #SXSW. Can't even take any more photos. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"72. ""Just witnessed someone's iPhone battery explode at #SXSW. Another quality issue from Apple! #Frustrated""",Negative emotion,Apple
"73. ""Apple's presence at #SXSW is laughable. Can't believe people still fall for their gimmicks! #Disappointed""",Negative emotion,Apple
"74. ""Forgot to enable Find My iPhone for #SXSW. Now I'm paranoid about losing my device. Thanks a lot, Apple! #TechFail""",Negative emotion,Apple
"75. ""Apple's latest keynote at #SXSW was a waste of time. Nothing groundbreaking, as usual! #Disappointed""",Negative emotion,Apple
"76. ""My iPhone's screen cracked at #SXSW. This is what I get for trusting Apple's so-called 'quality'! #Frustrated""",Negative emotion,Apple
"77. ""Just realized my iPhone's software is outdated at #SXSW. Can't keep up with the latest apps. Thanks, Apple! #TechFail""",Negative emotion,Apple
"78. ""Apple's temporary store at #SXSW is overcrowded and understaffed. Typical Apple, only cares about profits! #Frustrated""",Negative emotion,Apple
"79. ""My iPhone's speaker stopped working at #SXSW. Apple, why do you keep letting me down? #Frustrated""",Negative emotion,Apple
"80. ""Just got the latest iPhone model and it's already malfunctioning at #SXSW. Apple, you've lost a customer! #Frustrated""",Negative emotion,Apple
"81. ""Apple's latest product launch at #SXSW was a disaster. Nothing but glitches and bugs! #Frustrated""",Negative emotion,Apple
"82. ""Forgot my iPhone passcode at home for #SXSW. Just great, now I'm locked out of my own device! #TechFail""",Negative emotion,Apple
"83. ""Apple's customer service at #SXSW is nonexistent. Good luck getting any help when you need it! #Disappointed""",Negative emotion,Apple
"84. ""Just saw someone struggling with their malfunctioning iPhone at #SXSW. Apple's quality is going downhill! #Frustrated""",Negative emotion,Apple
"85. ""Apple's temporary store at #SXSW is a waste of time. Overpriced products and terrible service! #Frustrated""",Negative emotion,Apple
"86. ""My iPhone's battery life is pathetic at #SXSW. Apple needs to step up their game! #Frustrated""",Negative emotion,Apple
"87. ""Just got word of Apple's latest announcement at #SXSW. Yawn, same old boring stuff! #Disappointed""",Negative emotion,Apple
"88. ""Apple's presence at #SXSW is underwhelming as usual. Can't wait for them to be replaced by better companies! #Disappointed""",Negative emotion,Apple
"89. ""Forgot to backup my iPhone before #SXSW. Now I've lost all my important data. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"90. ""Apple's temporary store at #SXSW is a joke. They're just trying to squeeze more money out of us! #Frustrated""",Negative emotion,Apple
"91. ""My iPhone's screen keeps freezing at #SXSW. Apple, why can't you get anything right? #TechFail""",Negative emotion,Apple
"92. ""Just realized my iPhone alarm didn't go off for the #SXSW panel. Missed the whole thing, thanks Apple! #TechFail""",Negative emotion,Apple
"93. ""Apple's latest product launch at #SXSW was a letdown. Nothing but disappointment! #Disappointed""",Negative emotion,Apple
"94. ""Forgot my iPhone headphones for #SXSW. Now I can't even enjoy the music! Thanks for ruining my trip, Apple! #TechFail""",Negative emotion,Apple
"95. ""Apple's customer service at #SXSW is a joke. No help whatsoever when you have a problem! #Disappointed""",Negative emotion,Apple
"96. ""My iPhone's storage is full at #SXSW. Can't even take any more photos. Thanks for nothing, Apple! #TechFail""",Negative emotion,Apple
"97. ""Just witnessed someone's iPhone battery explode at #SXSW. Another quality issue from Apple! #Frustrated""",Negative emotion,Apple
"98. ""Apple's presence at #SXSW is laughable. Can't believe people still fall for their gimmicks! #Disappointed""",Negative emotion,Apple
"99. ""Forgot to enable Find My iPhone for #SXSW. Now I'm paranoid about losing my device. Thanks a lot, Apple! #TechFail""",Negative emotion,Apple
